id;start_time;end_time;status;user_id
1;2025-04-24T05:44:47;2025-04-24T06:03:08;SCHEDULED;1
2;2025-04-24T15:35:39;2025-04-24T04:34:14;SCHEDULED;2
3;2025-04-24T20:06:17;2025-04-24T06:23:59;CANCELLED;1
4;2025-04-25T01:34:22;2025-04-24T05:16:53;COMPLETED;1
5;2025-04-24T17:09:20;2025-04-24T06:36:36;COMPLETED;2
6;2025-04-24T10:12:16;2025-04-24T06:39:35;SCHEDULED;2
7;2025-04-24T11:03:33;2025-04-24T15:29:59;COMPLETED;1
8;2025-04-25T00:33:12;2025-04-24T15:56:37;COMPLETED;2
9;2025-04-24T22:54:05;2025-04-24T14:27:00;REQUESTED;2
10;2025-04-24T19:08:33;2025-04-24T16:35:35;CANCELLED;2
