id;name;description;price
1;kowtow milky;../fake-data/blob/hipster.txt;8148.98
2;eventually;../fake-data/blob/hipster.txt;17710.2
3;gratefully;../fake-data/blob/hipster.txt;31157.26
4;stunning towards extroverted;../fake-data/blob/hipster.txt;30793.92
5;divine stoop;../fake-data/blob/hipster.txt;29136.62
6;sheathe;../fake-data/blob/hipster.txt;590.8
7;yum traditionalism;../fake-data/blob/hipster.txt;8095.19
8;react;../fake-data/blob/hipster.txt;17714.64
9;incidentally that;../fake-data/blob/hipster.txt;29259.52
10;eyeglasses;../fake-data/blob/hipster.txt;4452.79
